contributor_zip,total_population,median_age,median_income,hispanic_or_latino,num_donations,total_amt_donated,white_alone_percent,black_alone_percent,native_american_percent,asian_alone_percent,hawaiian_pacific_percent,other_race_percent,hispanic_or_latino_percent,two_or_more_races_percent,amt_donated_per_resident
21204,20188,34.8,92734,673,45,34445.19,69.99702793738855,17.50544878145433,0.23281157123043392,6.053100851991282,0.024767188428769567,0.5944125222904696,3.333663562512384,5.5924311472161685,1.7062210223895384
21667,218,59.4,NA,0,1,371.67,83.94495412844036,8.715596330275229,0,0,0,7.339449541284404,0,0,1.704908256880734
21212,33861,38.8,94014,1862,75,55557.98,50.57736038510381,37.39995865449928,0.07087800124036503,3.8392250671864385,0.04429875077522814,1.901893033283128,5.498951596231652,6.166386107911757,1.6407660730634064
21032,8040,51.5,142202,259,15,12714.51,86.55472636815921,7.5621890547263675,0,1.4303482587064678,0,1.2064676616915424,3.221393034825871,3.2462686567164183,1.5814067164179104
21163,7222,46.3,123858,373,8,11223.09,44.22597618388258,24.328440875103848,0,24.53613957352534,0.1800055386319579,1.9523677651620048,5.164774300747715,4.777070063694268,1.5540141235114926
20850,51072,40.2,125268,6684,128,79279.71,48.34351503759399,11.444627192982457,0.12139724310776942,26.368656015037594,0,5.989583333333334,13.087406015037594,7.7322211779448615,1.5523126174812032
21665,164,55.9,150809,27,1,250,83.53658536585365,0,0,0,0,0,16.463414634146343,16.463414634146343,1.524390243902439
21093,38961,46.6,120947,1167,78,56757.68,80.08521341854676,4.550704550704551,0.1411668078334745,10.01001001001001,0.0282333615666949,0.5005005005005005,2.9953029953029953,4.684171350838017,1.4567819101152435
21622,348,57.4,56375,7,1,500,89.08045977011494,8.908045977011495,0,0,0,0,2.0114942528735633,2.0114942528735633,1.4367816091954022
20645,763,50.4,119167,0,1,1076,92.66055045871559,0,0.5242463958060288,0,0,0,0,6.8152031454783755,1.4102228047182175
21152,6517,41.9,113711,102,15,9043.27,83.41261316556697,7.626208378088077,0.19947828755562375,5.109713058155593,0,1.1815252416756177,1.5651373331287404,2.4704618689581093,1.387643087310112
20905,17451,41.6,142929,2948,40,24128.5,43.48747922755143,24.153343647928484,0,13.586613947624778,0,10.199988539338719,16.893014726949744,8.572574637556588,1.382642828491204
21634,367,62.4,49250,0,1,500,99.45504087193461,0,0,0,0,0,0,0.544959128065395,1.3623978201634876
21797,9034,45.1,179271,286,21,12230.29,88.01195483728138,2.2027894620323223,0.2988709320345362,4.328093867611246,0,0.24352446313925172,3.1658180208102724,4.914766437901262,1.3538067301306178
21678,1685,50,75865,12,3,2271,70.86053412462908,25.816023738872403,0,0.5341246290801187,0,0.2373887240356083,0.7121661721068249,2.5519287833827895,1.347774480712166
21669,186,61.8,87708,0,1,250,89.24731182795699,8.60215053763441,2.1505376344086025,0,0,0,0,0,1.3440860215053763
20882,13962,46.2,171903,1387,22,18440.07,75.39750752041255,7.5418994413407825,0,6.882968056152413,0,3.2087093539607507,9.934106861481164,6.968915628133505,1.3207327030511389
21286,21142,41.5,92722,1354,47,27746.68,72.16441207075962,15.395894428152493,0.03310945038312364,4.233279727556523,0.03310945038312364,2.951471005581307,6.404313688392772,5.188723867183804,1.3123961782234415
20853,31794,41.8,146075,8158,62,40789.88,55.29974208970246,11.511605963389318,0.5567088129835818,12.288482103541549,0,13.181732402340064,25.658929357740455,7.161728628043027,1.2829426935899855
21737,2406,38.5,250001,26,2,3049.98,76.47547797173732,5.818786367414797,0,13.258520365752286,0,0,1.0806317539484622,4.447215295095595,1.2676558603491273
21755,5706,43.6,129085,799,7,7175,80.94987732211708,3.1370487206449353,0.03505082369435682,1.805117420259376,0,5.625657202944269,14.00280406589555,8.447248510339993,1.257448300035051
21209,29960,35.3,89398,1107,56,37065.29,68.85180240320427,21.832443257676903,0.02002670226969292,4.636181575433912,0.043391188251001335,1.855807743658211,3.694926568758344,2.760347129506008,1.2371592122830442
21044,45100,39.6,123658,4278,102,55047.98,47.572062084257205,26.572062084257208,0.1951219512195122,12.534368070953436,0.026607538802660754,2.600886917960089,9.485587583148558,10.49889135254989,1.2205760532150778
20601,27328,36.8,115742,2182,13,33109.96,29.768003512880565,56.3048887587822,0.7135538641686183,3.0993852459016393,0.0622072599531616,2.5504976580796255,7.984484777517564,7.501463700234192,1.2115764051522249
20837,6651,44.9,193264,735,9,7990.67,78.51450909637649,3.0822432716884682,0,7.833408509998496,0,4.3602465794617355,11.050969778980605,6.209592542474816,1.2014238460381899
20906,71560,40,91563,23709,124,83278.82,31.185019564002236,23.788429290106205,0.2543320290665176,11.488261598658468,0.03633314700950251,24.707937395192843,33.131637786472886,8.539686975964225,1.163762157629961
21671,805,56.3,55208,28,2,925,99.37888198757764,0,0,0.6211180124223602,0,0,3.4782608695652173,0,1.1490683229813665
21042,42528,44.6,178207,1432,98,48864.31,58.2181151241535,4.40415726109857,0.3644657637321294,30.45287810383747,0.14578630549285176,1.0275583145221971,3.36719337848006,5.3870391271632805,1.1489914879608727
21871,1747,58.4,51500,28,5,2007.14,67.94504865483685,22.724670864338865,0,4.636519748139668,0,0,1.602747567258157,4.693760732684602,1.1489066971951918
20759,6125,39.6,246618,184,10,7016.02,51.755102040816325,13.46938775510204,0,24.66938775510204,0,0.39183673469387753,3.0040816326530613,9.714285714285714,1.1454726530612245
21012,23144,38.4,136705,2200,34,25509.68,81.61078465260975,5.146042170756999,0.13826477704804702,3.6553750432077425,0,0.8166263394400276,9.505703422053232,8.632907016937436,1.102215693052195
20754,7344,39.6,166976,323,7,7752.1,82.6797385620915,7.652505446623094,0.20424836601307192,2.2058823529411766,0,0.8169934640522877,4.398148148148148,6.440631808278867,1.0555691721132898
21208,37319,45.4,89702,1037,39,37264.85,51.60642032208794,41.97057798976393,0.22508641710656768,1.7497789329831988,0,1.3933921058978,2.778745411184651,3.054744232160562,0.9985489964897237
21409,20619,43.8,140236,1472,42,20500.66,83.24361026237936,4.418255007517338,0.12124739318104662,2.4782967166205925,0,2.260051408894709,7.139046510500025,7.4785392114069555,0.9942606333963819
20842,1927,47.3,152917,193,3,1910,69.43435391800726,13.907628437986508,0.4151530877010898,2.33523611831863,0,7.109496626881162,10.015568240788792,6.798131811105346,0.9911779968863519
21114,25126,36.7,132829,2115,38,24408.83,68.3395685743851,14.678022765263075,0,7.442489851150203,0,1.6277959086205525,8.417575419883786,7.912122900581071,0.9714570564355648
20630,307,54.8,193274,13,1,297.5,85.99348534201955,1.9543973941368076,0,0,0,0,4.234527687296417,12.052117263843648,0.9690553745928339
21750,3613,48.2,50833,12,3,3452,95.54386936064213,0.5812344312205923,0.05535566011624688,0.498200941046222,0,0.44284528092997505,0.3321339606974813,2.878494326044838,0.9554386936064213
21231,14780,32.8,88091,1063,21,14054.48,60.05412719891745,26.04194857916103,0.35859269282814615,6.2516914749661705,0,1.9891745602165087,7.192151556156968,5.30446549391069,0.9509120433017592
21619,5776,49.6,94815,239,15,5446.71,82.84279778393352,7.531163434903047,0,1.0214681440443214,0,3.9300554016620497,4.13781163434903,4.674515235457063,0.9429899584487534
20763,2219,39.1,98621,49,4,2091,50.06759801712482,38.75619648490311,0,7.751239296980622,0,0.67598017124831,2.2082018927444795,2.7489860297431274,0.9423163587201442
20782,34625,36.6,82037,13416,31,32414.16,18.631046931407944,37.802166064981954,0.5256317689530686,4.381227436823105,0,31.425270758122743,38.74657039711191,7.234657039711191,0.9361490252707582
20680,588,34.5,NA,4,3,550,64.45578231292517,14.965986394557824,0,0,0,20.578231292517007,0.6802721088435374,0,0.935374149659864
21218,46548,34.1,58847,1942,74,43203.16,28.037724499441435,60.16799862507519,0.5736014436710493,4.846609951018304,0.06874624043997593,1.1278680072183551,4.17203746670104,5.177451233135688,0.9281421328521098
21230,32883,33.5,95470,2954,45,30463.81,59.295076483289236,26.840616732049995,0.5656418210017334,2.6001277255724844,0.015205425295745522,5.911869354985859,8.983365264726455,4.771462457804945,0.9264303743575708
20861,3031,53.2,175250,503,12,2735,47.01418673705048,16.925107225338174,0,18.6077202243484,0,9.897723523589574,16.595183107885187,7.555262289673376,0.9023424612339161
21541,1682,48.9,58519,130,1,1500,83.88822829964329,10.404280618311535,1.426872770511296,0,0,0.89179548156956,7.728894173602854,3.388822829964328,0.89179548156956
21037,21060,40.5,127554,1036,35,17989.35,89.10731244064577,5.821462488129154,0,1.063627730294397,0,0.12345679012345678,4.919278252611585,3.8841405508072175,0.8541951566951567
21046,15894,37.7,125280,1049,27,13571.58,54.24059393481817,31.653454133635332,0.03775009437523594,6.958600729835158,0.1887504718761797,0.9122939474015351,6.599974833270417,6.008556688058387,0.8538807097017742
20781,13299,34.1,89281,5762,24,11269.93,32.97992330250395,25.04699601473795,0.9699977441912927,3.789758628468306,0.43612301676817805,30.272952853598017,43.32656590721107,6.504248439732311,0.8474268742010678
21658,3883,51.9,124375,354,6,3231.79,77.00231779551892,7.828998197270153,0.38629925315477726,0.7725985063095545,0,3.7342261138295134,9.116662374452742,10.275560133917075,0.832292042235385
20877,38524,36.9,86134,16769,50,31827.61,28.64188557782162,18.53390094486554,0.537327380334337,16.0627141522168,0.3270688402035095,25.934482400581455,43.52870937597342,9.962620703976741,0.8261761499325097
20832,25488,41.2,160287,2607,48,20811.14,60.80508474576271,12.880571249215317,0.3256434400502197,13.186597614563716,0,4.076428123038292,10.22834274952919,8.725674827369742,0.8165073760200878
21779,1731,27.8,111648,11,5,1376,96.07163489312536,0,0,0,0,0,0.635470826112074,3.928365106874639,0.7949162333911034
20878,65954,40.3,141902,8164,80,52174.8,49.24796069988174,10.088849804409133,0.30779027807259607,26.95060193468175,0,5.2445643933650725,12.37832428662401,8.160232889589714,0.7910786305606938
20841,9312,47.5,177588,697,10,7297.22,37.97250859106529,9.954896907216494,0,45.822594501718214,0,0.9342783505154639,7.484965635738831,5.315721649484536,0.7836361683848797
20687,360,38.3,143468,0,1,275,58.05555555555556,14.722222222222223,0,17.77777777777778,0,0,0,9.444444444444445,0.7638888888888888
21030,25133,36.9,92333,2631,30,18899,59.344288385787614,17.467075160148013,0.07559781959972944,9.378108462976963,0,3.5093303624716508,10.468308598257272,10.225599809016035,0.7519595750606772
21555,1515,48.4,47917,0,3,1125,98.87788778877888,0.19801980198019803,0,0,0,0,0,0.9240924092409241,0.7425742574257426
20902,53308,36.4,105677,20888,83,39078.56,37.49718616342763,17.91100772867112,0.7597358745404067,7.75680948450514,0.031890147820214605,29.074435356794474,39.183612215802505,6.968935244241015,0.7330712088241914
21057,4530,45.5,163462,321,12,3318.92,88.54304635761589,4.679911699779249,0.1986754966887417,2.185430463576159,0,1.2803532008830023,7.086092715231788,3.1125827814569536,0.7326534216335541
21650,308,41.6,92000,176,1,225,42.857142857142854,0,0,0,0,57.14285714285714,57.14285714285714,0,0.7305194805194806
21723,689,52.4,250001,0,1,500,50.07256894049347,2.1770682148040637,0,47.750362844702465,0,0,0,0,0.7256894049346879
21211,15935,36.7,79909,924,24,11543,76.32256040163163,9.030436146846563,1.5312205836209603,7.147787888296203,0.031377470975839344,0.527141512394101,5.798556636335111,5.409475996234703,0.7243802949482272
20751,2081,49.9,115451,181,2,1500,87.21768380586256,0.09610764055742432,0,0.3844305622296973,0,0,8.6977414704469,12.301777991350313,0.7208073041806824
21865,393,61.8,94118,0,2,275.61,71.50127226463104,11.704834605597965,0,16.793893129770993,0,0,0,0,0.7012977099236641
21202,20115,33.3,59098,972,14,14049.42,34.49664429530201,53.64156102411136,0.23365647526721353,5.344270444941586,0.07954262987820035,1.4914243102162565,4.832214765100671,4.71290082028337,0.698454884414616
21146,29710,42.1,171848,870,42,19940.75,88.20262537866039,3.453382699427802,0.006731740154830023,2.487377987209694,0,0.851565129585998,2.92830696735106,4.9983170649612925,0.671179737462134
21405,383,59,150208,0,4,255,100,0,0,0,0,0,0,0,0.6657963446475196
21078,19820,45.2,100853,1295,28,12982.7,72.13420787083754,15.94853683148335,0.19677093844601415,2.3612512613521695,0,3.279515640766902,6.53380423814329,6.079717457114026,0.6550302724520687
20626,239,55.4,56806,0,1,155,96.23430962343096,3.765690376569038,0,0,0,0,0,0,0.6485355648535565
21811,24456,54.9,87611,886,22,15820.86,84.1184167484462,8.513248282630029,0.03680078508341511,2.269381746810599,0,1.0958456002616945,3.6228328426561993,3.9663068367680734,0.6469111874386654
20778,2564,47.1,178854,194,3,1654.5,94.61778471138845,0.62402496099844,0,0,0,0,7.566302652106084,4.758190327613105,0.6452808112324493
21773,5553,43,142470,265,5,3580,90.09544390419593,0.3961822438321628,0.09004141905276428,2.197010624887448,0,1.854853232486944,4.772195209796506,5.366468575544751,0.6446965604177922
20721,30785,47.2,162538,934,48,19772.53,6.733798928049374,86.36348871203509,0.16891343186616858,1.1596556764658112,0,0.7860971252233231,3.0339451031346436,4.78804612636024,0.6422780574955335
21217,31634,39.9,36665,395,20,19974.97,12.992350003161155,82.12682556742746,0.14541316305241198,1.191755705886072,0.015805778592653474,0.28450401466776254,1.2486565088196244,3.2433457672124932,0.6314399064297908
21117,58516,36.8,96672,3621,49,36850.45,33.860824389910455,52.58732654316768,0.008544671542825894,5.318203568254836,0.14696835053660537,2.3651650830542073,6.188051131314512,5.7129673935333924,0.6297499829106569
20769,6812,43.1,155794,1463,9,4272.719999999999,23.766881972988845,45.273047563123896,0,15.002935995302408,0.04403992953611274,13.872577803875513,21.476805637110978,2.040516735173224,0.6272342924251321
20677,2055,50.2,156161,152,5,1259.73,77.37226277372264,13.284671532846716,0,2.7250608272506085,0,0.6812652068126521,7.3965936739659375,5.9367396593673964,0.613007299270073
21738,3786,44.7,239821,35,10,2285.62,86.58214474379292,2.13946117274168,0,6.788166930797676,0,0.6867406233491812,0.9244585314315901,3.8034865293185423,0.6037031167459059
20872,12932,41.7,129775,1918,12,7715.42,68.94525208784411,12.039901020723786,0.03866377977111043,5.760903185895453,0,6.8744200433034335,14.831425920197958,6.340859882462109,0.5966145994432416
21701,40787,39.2,97769,2497,46,23759.65,76.11739034496286,12.150930443523672,0.2304655895260745,2.7141000809081324,0.0367764238605438,1.441635815333317,6.122048691985191,7.308701301885405,0.5825299727854464
21841,988,41.1,83839,0,1,563,70.54655870445345,23.178137651821864,0,0,0,0,0,6.275303643724696,0.569838056680162
20711,7435,40.2,86633,1693,8,3965.46,64.8285137861466,12.616005379959649,0,0.4034969737726967,0,14.498991257565569,22.77067921990585,7.65299260255548,0.533350369872226
20903,25324,32.5,78649,12993,18,13307.2,16.253356499763072,27.00995103459169,1.0740799241825936,9.453482862107093,0,41.25335649976307,51.3070604959722,4.955773179592481,0.5254778076133313
21661,2571,59.7,77875,114,5,1349.85,86.50330610657332,6.0676779463243875,0,0,0.038895371450797356,5.562038117464022,4.434072345390899,1.8280824581874757,0.5250291715285881
20650,15522,37.6,137854,843,15,7915.37,77.97964179873728,6.829016879268135,0.012884937508053087,3.1245973457028735,0,0.5153975003221235,5.431001159644375,11.538461538461538,0.5099452390155907
21013,5382,45.6,161141,168,8,2678.63,92.17762913415088,1.7651430694908956,0,1.2263099219620959,0,0.9104422147900408,3.121516164994426,3.9204756596060943,0.49770159791898927
21131,7722,48.4,187500,177,8,3687,91.91919191919192,0.8676508676508676,0.6345506345506345,1.6058016058016058,0,1.1655011655011656,2.292152292152292,3.807303807303807,0.47746697746697747
20639,15058,39.3,144035,675,11,7149.29,77.7526896002125,11.422499667950591,0.06640988179041042,2.3177048744853233,0,0.11953778722273874,4.482667020852703,8.321158188338424,0.47478350378536327
21034,2958,51.8,85833,19,3,1351.66,94.7261663286004,0.676132521974307,0.16903313049357674,0.16903313049357674,0,0.0676132521974307,0.6423258958755916,4.192021636240703,0.4569506423258959
21804,38722,32.9,64513,1993,22,17588.97,58.8838386446981,29.729869324931563,0.22467847735137647,3.8479417385465626,0.023242601105314807,0.8264035948556377,5.146944889210268,6.464025618511441,0.4542371261814989
21082,694,51.6,137399,0,1,312.86,93.51585014409221,0,0,1.585014409221902,0,0,0,4.899135446685879,0.450806916426513
20736,9274,45.2,158924,346,5,4037.5,80.03019193444038,8.680181151606641,0.4744446840629717,0.48522751779167567,0,2.0487384084537417,3.730860470131551,8.281216303644598,0.4353569117964201
21704,18473,37.4,162437,2521,12,7922.5,59.481405294213175,11.562821415038165,0.211118930330753,14.529313051480539,0.21653223623666973,1.6131651599631898,13.646944188816109,12.385643912737509,0.428869160396254
20740,36583,24.5,79446,7501,28,15333.8,41.62862531777055,22.767405625563786,0.19134570702238743,14.061175956045158,0.021868080802558566,12.863898532105075,20.504059262498973,8.465680780690485,0.41915097176284066
21635,1836,49.8,120169,167,2,740.71,85.07625272331155,3.485838779956427,0,0.5991285403050108,0,6.045751633986928,9.095860566448803,4.793028322440087,0.4034368191721133
20659,23346,38.1,115729,669,18,9293.75,88.04506125246296,6.754904480424913,0.021416945086952795,0.3469545104086353,0,0.826694080356378,2.8655872526342843,4.004968731260173,0.39808746680373513
21045,40980,38,115134,4450,54,16237.37,46.957052220595415,31.181063933626156,0.3538311371400683,11.149341142020498,0,3.4773060029282576,10.858955588091753,6.881405563689605,0.39622669594924353
21754,7260,40,179068,672,7,2840.54,74.06336088154269,9.53168044077135,0.04132231404958678,8.016528925619834,0.11019283746556473,1.2396694214876034,9.256198347107437,6.997245179063361,0.3912589531680441
20876,26572,35.7,107542,5746,18,10329.08,31.450398916152338,30.468161975011288,0.17311455667620052,19.86677705855788,0,8.298208640674394,21.62426614481409,9.743338852927893,0.3887204576245672
21136,35038,43.5,105300,1706,26,13565.81,55.98493064672642,27.473029282493293,0.1969290484616702,7.788686568868086,0,2.6913636623094925,4.86899937211028,5.865060791141047,0.38717421085678405
20720,26253,40.9,158598,1879,16,10003.4,14.044109244657754,69.80535557841009,0.045709061821506115,4.944196853692912,0,4.82611511065402,7.1572772635508315,6.334514150763722,0.3810383575210452
20636,11089,38.7,151193,535,5,4177.43,83.47010550996484,6.51095680404004,0.16232302281540265,1.4609072053386238,0,1.0460817025881504,4.824600955902246,7.349625755252953,0.3767183695554153
20851,14659,36,107578,6041,14,5446.5,34.190599631625624,11.631079882665938,0.6344225390545057,16.078859403779248,0,23.896582304386385,41.2101780476158,13.568456238488299,0.371546490210792
21794,2309,43.6,191458,31,1,850,66.7388479861412,4.850584668687744,0,22.17410134257254,0,0,1.342572542226072,6.236466002598527,0.36812472932005197
21673,2793,44.4,66163,220,6,1016,76.69172932330827,16.541353383458645,0.5370569280343717,0.39384174722520593,0,0.0716075904045829,7.876834944504117,5.764411027568922,0.36376655925528106
21756,3303,45.6,92222,30,4,1200,96.24583711777173,0,0,0.6055101422948834,0,0,0.9082652134423252,3.148652739933394,0.36330608537693004
21113,36495,36.3,116584,3631,38,12682.91,52.4592409919167,27.042060556240582,0.032881216605014384,6.143307302370188,0.16440608302507193,2.759282093437457,9.949308124400604,11.398821756404987,0.3475245924099192
21742,34549,41,80306,3038,24,12004.59,75.20912327419028,10.561810761527106,0.09262207299777128,2.822078786650844,0.09262207299777128,1.913224695360213,8.79330805522591,9.308518336276014,0.3474656285275985
21108,18046,39.8,142001,745,15,6168,77.10295910451069,9.370497617200488,0.07757951900698215,5.048210129668624,0,1.108278842956888,4.128338690014408,7.292474786656323,0.34179319516790424
21716,6630,36.6,100043,500,5,2260,72.39819004524887,11.206636500754149,0.22624434389140274,1.9155354449472097,0,0.8446455505279035,7.541478129713424,13.408748114630468,0.34087481146304677
21702,46596,38.1,100449,8570,36,15746.4,62.44956648639368,16.857670186282085,0.1781268778435917,4.5712078289981974,0,4.472486908747532,18.39213666409134,11.470941711734913,0.33793458665979914
